2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
52947,2.2,36143,22.0,33.9,0.0,1.0,32.4,8526,641.14,82.6,7.6,25.3,12.5,51.3,53.1,42.9,0.8,5.0,0,0,298,988,0,0,1784,4381,0,106,463,0,0,0,0,1016
83593,1.8,50786,15.2,2.4,1.4,0.0,28.1,7404,631.9,132.3,6.1,23.0,15.3,50.1,87.9,9.5,0.8,2.3,0,0,2093,745,0,0,8596,1808,0,518,2586,0,0,0,0,5178
195085,6.0,68770,7.9,5.7,0.0,2.0,30.5,13737,784.93,248.5,6.0,24.4,13.0,51.2,84.0,12.1,2.2,6.0,0,0,5005,3755,0,0,18260,6657,0,2679,12213,0,0,0,0,14005
13763,0.9,22186,38.0,57.5,0.0,0.0,0.0,4494,903.89,15.2,4.8,19.7,16.3,55.0,25.5,73.5,0.4,1.1,0,0,21,416,0,0,166,2987,0,4,39,0,0,0,0,45
82291,1.6,35439,22.9,0.0,1.5,0.0,26.6,9113,736.78,111.7,5.5,22.3,16.1,51.4,65.2,32.5,0.4,2.3,0,0,1179,782,0,0,6304,5561,0,470,1676,0,0,0,0,2468
41616,1.9,39130,19.8,13.0,0.0,0.0,35.0,8881,716.52,58.1,5.8,21.1,19.6,51.4,70.6,27.3,0.5,2.3,0,0,1006,308,0,0,4658,2658,0,371,1289,0,0,0,0,1325
194656,3.5,45408,18.9,13.3,0.0,0.0,22.5,13664,1321.76,147.3,6.0,21.1,11.7,51.7,66.0,31.0,1.5,3.3,0,0,3310,3444,0,0,11652,12136,0,1381,6333,0,0,0,0,7789
67023,1.2,37566,20.9,0.0,0.6,0.0,23.8,13162,791.19,84.7,5.8,22.1,18.2,51.4,91.3,6.4,0.4,2.3,0,0,1369,727,0,0,8394,1772,0,362,1652,0,0,0,0,3106
17581,0.9,42156,18.4,0.0,0.0,0.0,25.6,4458,1080.21,16.3,4.9,22.5,17.0,51.2,66.0,24.6,0.1,1.4,0,0,152,562,0,0,1269,1511,0,27,362,0,0,0,0,516
11670,0.1,23642,39.2,66.2,0.0,0.0,37.6,6018,888.5,13.1,5.7,24.8,17.7,52.4,28.1,71.0,0.1,1.0,0,0,44,410,0,0,287,3337,0,12,64,0,0,0,0,114
24484,1.1,32900,24.0,0.0,0.0,0.0,19.6,6853,612.98,39.9,5.0,20.9,20.0,50.9,96.3,1.0,0.3,2.9,0,0,539,138,0,0,3352,303,0,163,708,0,0,0,0,1076
71518,1.7,31476,36.2,0.0,0.0,6.2,0.0,3997,11197.52,6.4,7.6,29.3,13.5,50.6,23.4,0.9,0.4,6.4,0,0,0,1933,0,0,1088,4450,0,133,0,0,0,0,0,938
131346,11.6,45755,17.1,2.5,2.3,15.5,33.0,10284,6165.69,21.3,6.5,22.4,19.9,49.2,87.9,4.7,2.2,34.6,0,0,0,3265,0,0,6339,4654,0,876,0,0,0,0,0,3736
