Population % Change,2010 Population,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Land Area (Square Miles),Population per Square Mile,No Preference,Uncommitted,Ben Carson,Bernie Sanders,Carly Fiorina,Chris Christie,Donald Trump,Hillary Clinton,Jeb Bush,John Kasich,Marco Rubio,Martin OMalley,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz
3.8,42090,1.1,3801,20.4,38413,17.1,3205,0,0,0,25.4,1434062,373077,9257,193,577.7,72.9,0,0,376,585,0,0,2103,1236,0,206,1318,0,0,0,0,1709
-1.2,22609,5.7,1556,19.7,32056,27.4,1578,0,0,0,25.9,0,204433,8807,3,727.52,31.1,0,0,119,164,0,0,821,786,0,91,395,0,0,0,0,917
1.4,32923,0.9,3202,27.7,41193,14.2,2636,0,0,0,23.8,858460,207424,6511,0,615.2,53.5,0,0,235,730,0,0,1597,1562,0,81,891,0,0,0,0,1381
-2.1,13789,6.2,875,18.7,35879,23.2,955,0,0,0,0,1081066,160839,11402,3,588.55,23.4,0,0,117,129,0,0,559,535,0,34,322,0,0,0,0,548
0.9,36647,3.6,2826,19.7,35026,23.7,3110,0,0,0.8,26.3,920041,384242,11132,48,763.95,48,0,0,469,521,0,0,2077,1059,0,234,1370,0,0,0,0,1644
-1.5,13696,2.3,1605,23.4,30661,18.7,0,0,0,0,0,0,104699,8035,3,580.58,23.6,0,0,139,239,0,0,873,516,0,55,349,0,0,0,0,628
-2.6,17997,0.8,1352,19.1,30284,28.4,1110,0,0,0,17,0,190887,11203,5,633.94,28.4,0,0,82,225,0,0,711,702,0,31,351,0,0,0,0,437
-6.6,77435,1.4,5858,21.3,37140,23.9,4083,28.1,2.9,0,25.6,0,867380,10922,55,870.75,88.9,0,0,180,2115,0,0,1490,9936,0,41,712,0,0,0,0,1285
1.8,25540,6.3,1887,20.5,31003,20.1,2100,0,0,0,28.6,546790,196775,7942,3,659.8,38.7,0,0,234,580,0,0,1338,1056,0,98,617,0,0,0,0,1004
-7,7645,0.7,534,24.9,29732,24.1,0,0,0,0,0,0,32850,4257,0,528.27,14.5,0,0,54,160,0,0,334,443,0,11,80,0,0,0,0,298
-2.8,17415,0.6,1443,25.1,32239,25.4,1434,0,0,0,24.1,0,163661,9703,3,587.61,29.6,0,0,89,726,0,0,445,933,0,21,230,0,0,0,0,426
-5.4,10424,0.8,485,20.4,25034,31.5,532,0,0,0,23.7,0,35796,3345,0,602.62,17.3,0,0,16,84,0,0,349,956,0,12,120,0,0,0,0,143
-1.2,14134,1.5,901,26.2,32697,27,586,0,0,0,32.8,0,57549,4202,0,561.52,25.2,0,0,68,152,0,0,581,599,0,15,242,0,0,0,0,416
-4.8,13171,1.4,1218,23.4,39673,14,863,0,0,0,21.4,0,88228,6846,1,532.25,24.7,0,0,87,441,0,0,521,721,0,15,187,0,0,0,0,488
-1.8,22353,1.2,2058,26,34996,17.6,1924,0,0,0,0,692089,178072,7855,8,708.13,31.6,0,0,205,361,0,0,1208,881,0,64,687,0,0,0,0,1077
4.7,68356,2.1,7426,25.6,52582,13.2,5253,4.1,0.7,2.2,21.5,0,497238,7821,263,770.73,88.7,0,0,706,817,0,0,3826,1664,0,301,2588,0,0,0,0,4028
0.1,15717,2.3,1279,29.6,35771,22.6,1202,0,0,0,0,0,114683,7381,0,834.26,18.8,0,0,88,1078,0,0,671,1085,0,29,296,0,0,0,0,632
-1.7,16653,2.4,2267,24.1,34494,18.9,2094,0,0,0,0,350144,87884,5291,2,597.01,27.9,0,0,318,314,0,0,1581,421,0,148,548,0,0,0,0,903
-0.1,43462,0.9,3406,20.2,41319,19.5,3160,11.3,1.1,0,18.9,712872,407683,9503,37,625.58,69.5,0,0,448,356,0,0,2425,1300,0,212,881,0,0,0,0,2741
-4.8,46480,1.8,3002,18.2,36428,24.9,2231,13.4,0,0,28.9,5010206,421872,9051,30,900.57,51.6,0,0,222,342,0,0,1575,2017,0,138,673,0,0,0,0,811
-7,8149,0.8,629,19.5,27263,28.8,832,0,0,0,0,0,82241,9599,1,607.12,13.4,0,0,14,411,0,0,173,843,0,5,81,0,0,0,0,138
-4.3,9487,1.7,1139,25.9,31345,22,922,0,0,0,0,0,32370,3570,0,779.88,12.2,0,0,100,142,0,0,672,316,0,68,287,0,0,0,0,432
